shipment_id,order_id,warehouse_id,carrier,ship_date,promised_delivery_days,actual_delivery_days,delivery_status,shipment_cost_usd,weight_kg,distance_km
SHP001653,ORD001653,WH09,XPO Freight,2024-05-29,10.0,,On Time,92.58,146.36,606
SHP001654,ORD001654,WH03,XPO Freight,2024-10-17,5.0,5.0,On Time,127.84,180.51,1998
SHP001655,ORD001655,WH02,FedEx,2024-06-25,14.0,14.0,On Time,352.6,100.72,1128
SHP001656,ORD001656,WH07,Amazon Logistics,2023-08-25,,7.0,On Time,258.22,169.99,770
SHP001657,ORD001657,WH06,FedEx,2023-10-06,13.0,13.0,On Time,279.3,118.22,4555
SHP001658,ORD001658,WH03,USPS,2023-12-14,7.0,7.0,On Time,177.14,118.47,698
SHP001659,ORD001659,WH06,UPS,2024-09-18,14.0,11.0,Early,225.12,188.04,3131
SHP001660,ORD001660,WH07,FedEx,2023-04-14,5.0,5.0,On Time,232.75,54.11,3289
SHP001661,ORD001661,WH06,UPS,2024-09-21,14.0,14.0,On Time,286.27,155.08,2139
SHP001662,ORD001662,WH01,Amazon Logistics,2024-05-31,9.0,9.0,On Time,209.19,31.87,2151
SHP001663,ORD001663,WH01,XPO Freight,2023-09-05,5.0,5.0,On Time,281.54,181.07,1664
SHP001664,ORD001664,WH09,UPS,2023-12-30,14.0,20.0,Late,272.01,112.06,371
SHP001665,ORD001665,WH06,FedEx,2023-11-17,10.0,9.0,Early,196.68,68.68,3047
SHP001666,ORD001666,WH02,FedEx,2024-09-24,11.0,11.0,On Time,246.34,7.8,231
SHP001667,ORD001667,WH01,FedEx,2023-10-13,14.0,14.0,On Time,321.45,99.92,1902
SHP001668,ORD001668,WH02,DHL,2023-05-29,4.0,4.0,On Time,216.47,199.03,4069
SHP001669,ORD001669,WH08,USPS,2023-03-25,,4.0,Early,297.34,0.95,1643
SHP001670,ORD001670,WH05,FedEx,2024-02-10,14.0,14.0,On Time,352.38,120.46,4048
SHP001671,ORD001671,WH07,UPS,2024-03-31,9.0,9.0,On Time,262.09,5.72,3144
SHP001672,ORD001672,WH07,UPS,2023-06-10,7.0,7.0,On Time,186.8,150.77,1162
SHP001673,ORD001673,WH02,Amazon Logistics,2024-04-04,12.0,12.0,On Time,266.49,46.39,2580
SHP001674,ORD001674,WH04,UPS,2024-07-03,9.0,9.0,On Time,200.25,25.8,4460
SHP001675,ORD001675,WH02,XPO Freight,2024-05-14,4.0,13.0,Late,92.4,21.54,4047
SHP001676,ORD001676,WH07,UPS,2024-05-23,6.0,3.0,Early,214.01,151.44,1533
SHP001677,ORD001677,WH05,UPS,2024-10-15,,6.0,Early,304.48,3.65,2461
SHP001678,ORD001678,WH01,DHL,2024-04-25,7.0,5.0,Early,197.65,84.18,3966
SHP001679,ORD001679,WH02,FedEx,2024-10-24,10.0,10.0,On Time,95.57,77.16,2118
SHP001680,ORD001680,WH06,Amazon Logistics,2023-04-24,,7.0,Cancelled,163.69,112.31,2157
SHP001681,ORD001681,WH04,USPS,2024-07-31,9.0,9.0,On Time,71.47,196.49,2843
SHP001682,ORD001682,WH07,DHL,2023-12-27,9.0,9.0,On Time,260.8,58.75,2441
SHP001683,ORD001683,WH02,Amazon Logistics,2023-12-07,9.0,9.0,On Time,249.88,167.28,3732
SHP001684,ORD001684,WH02,USPS,2024-03-24,3.0,3.0,On Time,222.77,190.53,3564
SHP001685,ORD001685,WH06,USPS,2023-06-29,14.0,14.0,On Time,181.22,30.21,4690
SHP001686,ORD001686,WH08,Amazon Logistics,2024-12-02,13.0,11.0,Early,199.74,112.23,2298
SHP001687,ORD001687,WH01,XPO Freight,2024-02-11,,7.0,On Time,127.99,48.09,1670
SHP001688,ORD001688,WH05,Amazon Logistics,2024-10-27,,7.0,On Time,292.06,169.79,4343
SHP001689,ORD001689,WH01,FedEx,2023-07-15,4.0,1.0,Early,123.18,142.11,1053
SHP001690,ORD001690,WH06,USPS,2024-04-10,7.0,11.0,Late,227.8,149.64,3087
SHP001691,ORD001691,WH07,FedEx,2023-11-07,4.0,,Early,168.76,142.58,1347
SHP001692,ORD001692,WH06,FedEx,2023-09-19,7.0,7.0,On Time,232.26,185.05,2171
SHP001693,ORD001693,WH09,USPS,2024-02-23,7.0,7.0,Cancelled,337.91,130.85,3881
SHP001694,ORD001694,WH03,XPO Freight,2024-02-10,6.0,6.0,On Time,222.79,176.61,1151
SHP001695,ORD001695,WH08,XPO Freight,2023-05-23,13.0,13.0,On Time,191.48,122.61,4331
SHP001696,ORD001696,WH03,USPS,2023-12-08,9.0,9.0,On Time,233.29,59.03,3166
SHP001697,ORD001697,WH07,Amazon Logistics,2023-11-12,12.0,12.0,On Time,91.22,40.23,3693
SHP001698,ORD001698,WH05,DHL,2023-04-11,8.0,8.0,On Time,296.95,65.71,1133
SHP001699,ORD001699,WH01,Amazon Logistics,2023-09-01,4.0,4.0,On Time,85.3,129.1,4180
SHP001700,ORD001700,WH04,Amazon Logistics,2024-05-04,6.0,,On Time,216.95,37.95,1134
SHP001701,ORD001701,WH09,USPS,2023-01-12,13.0,13.0,On Time,219.02,192.12,1243
SHP001702,ORD001702,WH08,USPS,2023-08-27,9.0,9.0,On Time,285.77,177.95,4900
SHP001703,ORD001703,WH03,XPO Freight,2024-07-14,11.0,11.0,On Time,367.95,139.15,1889
SHP001704,ORD001704,WH02,FedEx,2023-02-11,11.0,11.0,On Time,112.49,195.73,4800
SHP001705,ORD001705,WH09,FedEx,2024-11-08,14.0,14.0,On Time,166.03,31.71,4009
SHP001706,ORD001706,WH01,USPS,2024-08-16,5.0,5.0,On Time,291.63,119.36,1785
SHP001707,ORD001707,WH09,DHL,2024-03-04,3.0,3.0,On Time,158.39,81.82,3841
SHP001708,ORD001708,WH07,FedEx,2023-06-07,11.0,11.0,On Time,281.37,132.1,989
SHP001709,ORD001709,WH02,UPS,2023-08-04,10.0,10.0,On Time,183.83,178.19,727
SHP001710,ORD001710,WH05,UPS,2024-10-31,,7.0,On Time,192.1,97.58,847
SHP001711,ORD001711,WH02,USPS,2024-04-06,8.0,8.0,On Time,108.48,26.38,2676
SHP001712,ORD001712,WH05,XPO Freight,2023-05-14,12.0,12.0,On Time,219.8,33.26,1290
SHP001713,ORD001713,WH07,XPO Freight,2023-03-08,9.0,9.0,On Time,196.67,122.19,640
SHP001714,ORD001714,WH05,UPS,2023-01-07,13.0,13.0,On Time,302.44,35.33,2937
SHP001715,ORD001715,WH02,DHL,2024-06-09,11.0,11.0,On Time,216.09,49.99,2301
SHP001716,ORD001716,WH05,FedEx,2023-03-14,8.0,8.0,On Time,100.51,125.3,4843
SHP001717,ORD001717,WH10,DHL,2024-02-03,12.0,12.0,On Time,119.86,6.97,4536
SHP001718,ORD001718,WH06,XPO Freight,2024-02-09,5.0,5.0,On Time,49.24,167.94,4837
SHP001719,ORD001719,WH05,FedEx,2024-11-05,5.0,5.0,On Time,152.53,186.04,3753
SHP001720,ORD001720,WH02,FedEx,2024-07-31,6.0,6.0,On Time,120.19,121.09,3786
SHP001721,ORD001721,WH06,Amazon Logistics,2023-05-10,,7.0,On Time,60.32,147.1,911
SHP001722,ORD001722,WH06,DHL,2024-04-10,12.0,12.0,On Time,240.43,67.63,1155
SHP001723,ORD001723,WH02,UPS,2023-07-25,10.0,10.0,On Time,298.95,139.63,4219
SHP001724,ORD001724,WH04,USPS,2023-09-23,12.0,12.0,On Time,283.0,56.85,4697
SHP001725,ORD001725,WH07,XPO Freight,2024-06-20,11.0,11.0,On Time,107.01,40.55,1070
SHP001726,ORD001726,WH01,XPO Freight,2023-09-10,10.0,10.0,On Time,224.36,188.98,1606
SHP001727,ORD001727,WH01,Amazon Logistics,2023-10-16,13.0,16.0,Late,220.99,173.35,1293
SHP001728,ORD001728,WH06,FedEx,2023-06-13,12.0,12.0,On Time,72.37,129.68,275
SHP001729,ORD001729,WH07,DHL,2023-04-05,4.0,4.0,On Time,313.64,49.55,181
SHP001730,ORD001730,WH05,DHL,2023-04-20,6.0,6.0,On Time,251.9,150.93,2066
SHP001731,ORD001731,WH10,UPS,2023-12-02,6.0,10.0,Late,112.43,184.73,2650
SHP001732,ORD001732,WH08,Amazon Logistics,2023-08-26,14.0,13.0,Early,163.46,112.08,4962
SHP001733,ORD001733,WH04,DHL,2024-01-16,4.0,8.0,Late,312.41,185.74,2000
SHP001734,ORD001734,WH03,XPO Freight,2024-03-11,10.0,10.0,On Time,133.97,126.1,2298
SHP001735,ORD001735,WH07,USPS,2024-04-27,5.0,5.0,On Time,65.75,184.9,595
SHP001736,ORD001736,WH04,USPS,2023-01-25,4.0,4.0,On Time,286.46,90.12,2522
SHP001737,ORD001737,WH01,UPS,2024-10-14,9.0,9.0,On Time,285.02,109.1,1370
SHP001738,ORD001738,WH08,UPS,2023-04-27,,7.0,On Time,198.47,197.3,4909
SHP001739,ORD001739,WH05,UPS,2024-04-26,,7.0,On Time,217.62,124.64,4614
SHP001740,ORD001740,WH08,USPS,2024-01-27,5.0,5.0,On Time,228.04,100.04,4207
SHP001741,ORD001741,WH08,USPS,2024-06-20,5.0,2.0,Early,290.47,6.8,2678
SHP001742,ORD001742,WH05,USPS,2023-03-20,,8.0,Late,285.27,85.54,4322
SHP001743,ORD001743,WH08,UPS,2024-08-02,5.0,5.0,On Time,108.99,5.91,379
SHP001744,ORD001744,WH07,FedEx,2023-06-22,14.0,14.0,On Time,258.47,22.38,822
SHP001745,ORD001745,WH03,FedEx,2023-01-12,6.0,6.0,On Time,223.96,60.12,3257
SHP001746,ORD001746,WH04,FedEx,2023-05-08,5.0,5.0,On Time,263.79,35.67,2719
SHP001747,ORD001747,WH07,UPS,2024-08-30,,7.0,On Time,328.09,82.2,4897
SHP001748,ORD001748,WH04,DHL,2023-04-02,5.0,4.0,Early,52.96,130.03,1462
SHP001749,ORD001749,WH06,UPS,2024-10-14,,6.0,Early,88.91,60.29,4787
SHP001750,ORD001750,WH02,Amazon Logistics,2024-06-26,6.0,6.0,On Time,68.64,98.53,2672
SHP001751,ORD001751,WH02,DHL,2024-06-15,4.0,4.0,On Time,231.64,171.98,2641
SHP001752,ORD001752,WH03,UPS,2024-10-19,,7.0,On Time,302.71,175.77,3143
SHP001753,ORD001753,WH10,UPS,2024-03-22,11.0,11.0,On Time,209.82,136.45,1911
SHP001754,ORD001754,WH07,USPS,2024-01-25,13.0,13.0,On Time,263.91,135.48,1837
SHP001755,ORD001755,WH03,Amazon Logistics,2024-11-02,3.0,3.0,On Time,267.48,105.17,4653
SHP001756,ORD001756,WH03,DHL,2023-02-12,3.0,3.0,On Time,317.95,158.49,4369
SHP001757,ORD001757,WH04,XPO Freight,2023-09-11,12.0,12.0,On Time,339.66,56.3,4685
SHP001758,ORD001758,WH10,UPS,2023-05-10,3.0,0.0,Early,187.95,193.27,2257
SHP001759,ORD001759,WH06,Amazon Logistics,2023-03-01,5.0,5.0,On Time,335.81,49.11,4570
SHP001760,ORD001760,WH01,USPS,2024-10-24,4.0,1.0,Early,228.04,157.32,680
SHP001761,ORD001761,WH06,FedEx,2024-04-11,5.0,5.0,On Time,248.46,158.52,3920
SHP001762,ORD001762,WH08,UPS,2023-10-14,7.0,7.0,On Time,84.47,161.36,3215
SHP001763,ORD001763,WH08,Amazon Logistics,2024-05-31,11.0,11.0,On Time,179.14,118.65,1263
SHP001764,ORD001764,WH06,FedEx,2024-04-11,4.0,4.0,On Time,209.69,6.82,1637
SHP001765,ORD001765,WH06,UPS,2023-12-11,14.0,14.0,On Time,259.72,135.3,1607
SHP001766,ORD001766,WH03,FedEx,2024-10-03,13.0,16.0,Late,171.36,61.72,2404
SHP001767,ORD001767,WH02,Amazon Logistics,2024-01-17,3.0,3.0,On Time,266.58,198.82,4982
SHP001768,ORD001768,WH07,XPO Freight,2024-11-20,13.0,13.0,On Time,348.7,57.06,2977
SHP001769,ORD001769,WH08,Amazon Logistics,2023-09-10,8.0,8.0,On Time,274.56,64.69,1818
SHP001770,ORD001770,WH10,Amazon Logistics,2023-02-25,5.0,5.0,On Time,196.69,55.15,4139
SHP001771,ORD001771,WH06,USPS,2024-04-07,9.0,9.0,On Time,145.24,131.41,4933
SHP001772,ORD001772,WH05,Amazon Logistics,2024-04-01,8.0,8.0,On Time,308.09,67.84,3134
SHP001773,ORD001773,WH04,UPS,2023-03-24,13.0,13.0,On Time,310.25,144.13,1127
SHP001774,ORD001774,WH01,XPO Freight,2023-04-09,9.0,9.0,On Time,49.66,69.24,4127
SHP001775,ORD001775,WH09,XPO Freight,2023-05-29,7.0,7.0,On Time,185.85,186.73,2740
SHP001776,ORD001776,WH10,USPS,2023-11-25,3.0,3.0,On Time,271.78,52.28,388
SHP001777,ORD001777,WH04,Amazon Logistics,2023-06-05,5.0,5.0,On Time,201.73,58.69,681
SHP001778,ORD001778,WH02,XPO Freight,2023-07-09,5.0,5.0,On Time,116.63,86.1,3778
SHP001779,ORD001779,WH04,Amazon Logistics,2024-05-08,9.0,15.0,Late,68.06,191.57,662
SHP001780,ORD001780,WH05,Amazon Logistics,2023-09-20,5.0,5.0,On Time,94.94,25.35,1230
SHP001781,ORD001781,WH02,UPS,2023-03-21,13.0,13.0,On Time,220.6,98.8,1012
SHP001782,ORD001782,WH07,FedEx,2024-02-04,,4.0,Early,97.04,96.02,3415
SHP001783,ORD001783,WH03,USPS,2024-08-31,6.0,6.0,On Time,36.55,147.81,298
SHP001784,ORD001784,WH08,Amazon Logistics,2023-09-17,6.0,6.0,On Time,15035.422523904253,66.91,3030
SHP001785,ORD001785,WH04,DHL,2024-09-06,9.0,18.0,Late,266.66,66.08,2206
SHP001786,ORD001786,WH05,USPS,2024-07-05,3.0,,Late,179.73,94.34,2650
SHP001787,ORD001787,WH03,USPS,2023-04-11,9.0,9.0,On Time,271.38,101.4,1967
SHP001788,ORD001788,WH05,FedEx,2023-12-25,10.0,10.0,On Time,224.52,44.33,1646
SHP001789,ORD001789,WH09,USPS,2024-01-15,5.0,,On Time,286.89,119.42,1145
SHP001790,ORD001790,WH02,UPS,2023-08-09,5.0,5.0,On Time,87.6,17.63,1309
SHP001791,ORD001791,WH07,XPO Freight,2024-02-24,6.0,5.0,Early,131.26,96.41,2307
SHP001792,ORD001792,WH10,USPS,2023-05-04,8.0,8.0,On Time,214.24,71.84,3300
SHP001793,ORD001793,WH08,XPO Freight,2024-02-26,9.0,9.0,On Time,45.02,166.08,1230
SHP001794,ORD001794,WH03,UPS,2023-08-19,3.0,5.0,Late,324.53,49.08,1429
SHP001795,ORD001795,WH04,UPS,2024-11-20,6.0,6.0,On Time,316.36,152.77,4661
SHP001796,ORD001796,WH10,XPO Freight,2023-03-04,14.0,14.0,On Time,310.97,95.47,474
SHP001797,ORD001797,WH02,UPS,2024-04-29,9.0,9.0,On Time,141.08,179.99,4536
SHP001798,ORD001798,WH10,Amazon Logistics,2024-09-19,13.0,19.0,Late,139.37,90.58,4566
SHP001799,ORD001799,WH09,USPS,2024-12-03,4.0,4.0,Cancelled,297.59,148.39,4592
SHP001800,ORD001800,WH03,XPO Freight,2024-07-27,3.0,3.0,On Time,117.59,9.97,860
SHP001801,ORD001801,WH09,XPO Freight,2024-04-27,3.0,3.0,On Time,136.37,145.7,2721
SHP001802,ORD001802,WH07,FedEx,2024-06-02,12.0,12.0,On Time,201.8,148.29,2045
SHP001803,ORD001803,WH06,XPO Freight,2023-06-04,8.0,8.0,On Time,99.74,36.92,3725
SHP001804,ORD001804,WH03,XPO Freight,2023-04-02,14.0,14.0,On Time,294.39,66.01,3486
SHP001805,ORD001805,WH07,UPS,2024-06-09,,7.0,On Time,195.13,99.46,2116
SHP001806,ORD001806,WH03,UPS,2024-03-30,3.0,3.0,On Time,281.69,174.39,3237
SHP001807,ORD001807,WH06,DHL,2024-08-20,,7.0,On Time,117.92,55.65,2006
SHP001808,ORD001808,WH08,XPO Freight,2024-10-06,,7.0,On Time,152.11,112.82,3608
SHP001809,ORD001809,WH05,XPO Freight,2024-05-24,13.0,13.0,On Time,210.87,64.51,4222
SHP001810,ORD001810,WH03,FedEx,2023-07-02,9.0,17.0,Late,192.59,55.43,2814
SHP001811,ORD001811,WH06,UPS,2024-01-21,14.0,23.0,Late,429.22,144.47,1302
SHP001812,ORD001812,WH08,FedEx,2024-07-27,,7.0,On Time,202.46,92.7,386
SHP001813,ORD001813,WH10,Amazon Logistics,2024-02-09,11.0,9.0,Early,162.59,94.13,1851
SHP001814,ORD001814,WH03,DHL,2023-09-03,8.0,8.0,On Time,150.84,108.63,4059
SHP001815,ORD001815,WH05,DHL,2024-08-13,5.0,5.0,On Time,202.65,150.15,4696
SHP001816,ORD001816,WH09,UPS,2024-10-22,3.0,3.0,On Time,194.78,103.5,2033
SHP001817,ORD001817,WH10,XPO Freight,2024-10-11,5.0,,Early,206.15,41.72,2498
SHP001818,ORD001818,WH10,UPS,2024-04-15,12.0,12.0,On Time,337.15,145.75,4354
SHP001819,ORD001819,WH03,USPS,2024-02-27,4.0,4.0,On Time,169.33,189.85,1707
SHP001820,ORD001820,WH02,Amazon Logistics,2023-03-06,13.0,13.0,On Time,139.47,124.05,2150
SHP001821,ORD001821,WH08,FedEx,2023-01-13,7.0,5.0,Early,73.55,189.84,1677
SHP001822,ORD001822,WH07,DHL,2023-08-01,10.0,10.0,On Time,335.65,99.89,4703
SHP001823,ORD001823,WH09,USPS,2023-08-30,7.0,16.0,Late,341.46,65.2,1162
SHP001824,ORD001824,WH04,FedEx,2024-05-07,3.0,1.0,Early,191.47,9.94,3882
SHP001825,ORD001825,WH03,UPS,2023-08-01,5.0,5.0,Cancelled,243.92,170.03,4274
SHP001826,ORD001826,WH10,FedEx,2024-11-23,14.0,23.0,Late,185.35,38.79,292
SHP001827,ORD001827,WH05,Amazon Logistics,2023-12-04,7.0,7.0,On Time,309.42,74.04,4692
SHP001828,ORD001828,WH01,USPS,2023-06-22,9.0,13.0,Late,167.22,148.49,2031
SHP001829,ORD001829,WH05,Amazon Logistics,2024-11-02,7.0,7.0,On Time,62.61,113.69,777
SHP001830,ORD001830,WH03,FedEx,2023-06-13,12.0,12.0,On Time,112.02,112.76,4131
SHP001831,ORD001831,WH01,USPS,2024-04-09,7.0,12.0,Late,278.53,38.36,3072
SHP001832,ORD001832,WH03,XPO Freight,2024-05-11,9.0,9.0,On Time,153.79,181.57,1053
SHP001833,ORD001833,WH05,Amazon Logistics,2024-11-30,,8.0,Late,313.6,14.8,3255
SHP001834,ORD001834,WH05,XPO Freight,2024-01-30,10.0,19.0,Late,198.88,51.79,1382
SHP001835,ORD001835,WH10,USPS,2024-12-03,9.0,18.0,Late,377.2,25.98,301
SHP001836,ORD001836,WH08,DHL,2023-11-04,5.0,2.0,Early,164.64,1.18,3979
SHP001837,ORD001837,WH01,FedEx,2023-07-02,13.0,13.0,On Time,289.2,34.84,2720
SHP001838,ORD001838,WH07,FedEx,2024-09-20,4.0,4.0,On Time,127.19,69.46,2546
SHP001839,ORD001839,WH05,UPS,2024-05-24,3.0,0.0,Early,171.43,26.51,2839
SHP001840,ORD001840,WH03,UPS,2024-12-08,8.0,8.0,On Time,166.65,66.54,4748
SHP001841,ORD001841,WH04,Amazon Logistics,2024-06-29,11.0,13.0,Late,289.66,157.91,2639
SHP001842,ORD001842,WH03,XPO Freight,2024-07-17,,7.0,On Time,133.82,39.8,1774
SHP001843,ORD001843,WH08,UPS,2024-09-15,7.0,7.0,On Time,167.69,6.74,2177
SHP001844,ORD001844,WH04,USPS,2024-08-16,11.0,11.0,On Time,273.79,173.6,2403
SHP001845,ORD001845,WH03,UPS,2023-08-15,11.0,11.0,On Time,128.37,56.37,4874
SHP001846,ORD001846,WH02,USPS,2024-03-11,9.0,9.0,On Time,148.95,21.97,925
SHP001847,ORD001847,WH03,FedEx,2024-02-26,6.0,6.0,On Time,146.48,85.69,798
SHP001848,ORD001848,WH07,FedEx,2024-07-07,13.0,13.0,On Time,238.33,56.36,150
SHP001849,ORD001849,WH06,UPS,2023-01-21,4.0,4.0,On Time,128.83,111.26,4391
SHP001850,ORD001850,WH10,DHL,2024-07-07,4.0,4.0,On Time,167.65,186.98,1649
SHP001851,ORD001851,WH05,USPS,2024-02-01,6.0,15.0,Late,59.05,35.23,145
SHP001852,ORD001852,WH08,FedEx,2024-09-16,3.0,3.0,On Time,237.13,186.57,3680
SHP001853,ORD001853,WH01,DHL,2023-04-15,6.0,6.0,On Time,289.24,160.11,1866
SHP001854,ORD001854,WH03,Amazon Logistics,2023-07-11,14.0,14.0,On Time,302.23,127.83,2877
SHP001855,ORD001855,WH02,UPS,2023-01-17,13.0,22.0,Late,260.42,103.61,3571
SHP001856,ORD001856,WH02,DHL,2023-04-30,8.0,8.0,On Time,154.54,110.7,4792
SHP001857,ORD001857,WH01,XPO Freight,2024-01-28,8.0,8.0,On Time,7715.423036096063,60.52,673
SHP001858,ORD001858,WH05,UPS,2024-02-29,9.0,9.0,On Time,229.22,113.97,247
SHP001859,ORD001859,WH05,DHL,2023-05-09,7.0,5.0,Early,198.22,98.19,1811
SHP001860,ORD001860,WH03,UPS,2023-05-10,11.0,15.0,Late,203.32,90.51,4110
SHP001861,ORD001861,WH09,DHL,2024-07-25,4.0,3.0,Early,203.51,13.14,199
SHP001862,ORD001862,WH06,USPS,2024-07-13,4.0,4.0,On Time,314.2,123.62,2086
SHP001863,ORD001863,WH10,Amazon Logistics,2023-01-29,6.0,6.0,On Time,83.53,31.8,4352
SHP001864,ORD001864,WH06,XPO Freight,2023-04-07,6.0,6.0,On Time,303.93,93.25,761
SHP001865,ORD001865,WH10,Amazon Logistics,2023-01-10,6.0,11.0,Late,239.15,58.28,1997
SHP001866,ORD001866,WH06,USPS,2023-08-30,3.0,3.0,On Time,263.64,179.92,2282
SHP001867,ORD001867,WH02,USPS,2023-08-20,6.0,6.0,On Time,322.45,133.96,2512
SHP001868,ORD001868,WH10,Amazon Logistics,2023-10-11,14.0,14.0,On Time,324.97,55.39,3364
SHP001869,ORD001869,WH10,Amazon Logistics,2024-12-15,,7.0,On Time,147.46,184.88,1201
SHP001870,ORD001870,WH08,XPO Freight,2024-12-26,11.0,20.0,Late,216.23,112.57,4377
SHP001871,ORD001871,WH06,USPS,2023-07-19,5.0,5.0,On Time,223.98,85.04,3984
SHP001872,ORD001872,WH03,XPO Freight,2023-03-20,,7.0,On Time,247.44,36.83,3067
SHP001873,ORD001873,WH10,USPS,2023-06-22,,7.0,On Time,133.74,65.61,4371
SHP001874,ORD001874,WH09,DHL,2024-04-11,12.0,9.0,Early,304.98,8.78,1084
SHP001875,ORD001875,WH02,Amazon Logistics,2024-08-03,8.0,8.0,On Time,310.19,87.87,2826
SHP001876,ORD001876,WH07,FedEx,2024-02-20,5.0,5.0,On Time,72.97,40.86,1081
SHP001877,ORD001877,WH03,XPO Freight,2024-03-24,3.0,3.0,On Time,315.2,61.64,2970
SHP001878,ORD001878,WH06,Amazon Logistics,2023-03-28,12.0,12.0,On Time,367.5,173.01,1137
SHP001879,ORD001879,WH05,XPO Freight,2023-04-11,10.0,10.0,On Time,146.29,67.95,2488
SHP001880,ORD001880,WH06,Amazon Logistics,2023-01-08,14.0,14.0,On Time,299.22,162.14,3753
SHP001881,ORD001881,WH08,XPO Freight,2023-07-19,,12.0,Late,128.65,174.01,1652
SHP001882,ORD001882,WH03,XPO Freight,2024-05-19,4.0,1.0,Early,64.26,84.93,1747
SHP001883,ORD001883,WH02,FedEx,2023-03-28,5.0,5.0,On Time,279.59,194.15,2105
SHP001884,ORD001884,WH08,FedEx,2023-02-12,8.0,14.0,Late,241.16,82.14,1124
SHP001885,ORD001885,WH01,XPO Freight,2024-01-20,6.0,9.0,Late,69.91,162.95,3236
SHP001886,ORD001886,WH02,FedEx,2024-09-12,6.0,6.0,On Time,285.51,190.55,162
SHP001887,ORD001887,WH10,UPS,2024-03-10,,7.0,On Time,144.9,2.27,4489
SHP001888,ORD001888,WH01,Amazon Logistics,2024-02-12,,7.0,On Time,116.3,71.42,3314
SHP001889,ORD001889,WH05,DHL,2024-04-27,14.0,14.0,On Time,263.57,154.02,2352
SHP001890,ORD001890,WH08,FedEx,2024-10-25,4.0,4.0,Cancelled,158.24,166.05,1970
SHP001891,ORD001891,WH02,UPS,2023-01-17,9.0,9.0,On Time,286.92,170.6,2742
SHP001892,ORD001892,WH04,FedEx,2024-10-06,5.0,4.0,Early,179.0,152.3,2021
SHP001893,ORD001893,WH04,Amazon Logistics,2023-05-28,,6.0,Early,228.99,65.86,693
SHP001894,ORD001894,WH07,Amazon Logistics,2023-10-04,8.0,8.0,On Time,152.2,160.73,2062
SHP001895,ORD001895,WH01,UPS,2023-08-20,10.0,,On Time,102.05,113.34,1985
SHP001896,ORD001896,WH09,UPS,2024-01-01,3.0,3.0,On Time,46.97,39.67,1089
SHP001897,ORD001897,WH03,Amazon Logistics,2023-08-16,4.0,1.0,Early,110.03,40.44,316
SHP001898,ORD001898,WH06,FedEx,2024-10-12,,6.0,Early,237.89,44.74,3858
SHP001899,ORD001899,WH10,USPS,2024-03-11,5.0,5.0,On Time,52.13,33.77,3746
SHP001900,ORD001900,WH05,DHL,2024-02-03,3.0,3.0,On Time,97.01,60.51,3992
SHP001901,ORD001901,WH04,DHL,2023-07-30,,7.0,On Time,75.37,147.44,344
SHP001902,ORD001902,WH09,USPS,2024-01-26,7.0,,On Time,174.64,185.63,4687
SHP001903,ORD001903,WH09,DHL,2024-05-13,11.0,11.0,On Time,307.94,49.19,1142
SHP001904,ORD001904,WH01,XPO Freight,2024-06-23,8.0,8.0,On Time,210.98,117.04,1770
SHP001905,ORD001905,WH07,FedEx,2024-07-16,7.0,8.0,Late,233.02,17.26,1339
SHP001906,ORD001906,WH10,Amazon Logistics,2024-05-05,,15.0,Late,318.38,110.73,2019
SHP001907,ORD001907,WH09,Amazon Logistics,2024-03-17,3.0,3.0,On Time,155.63,160.58,506
SHP001908,ORD001908,WH05,FedEx,2023-09-18,13.0,21.0,Late,387.89,128.19,3609
SHP001909,ORD001909,WH01,DHL,2023-12-16,3.0,2.0,Early,125.53,111.79,510
SHP001910,ORD001910,WH08,UPS,2023-12-18,9.0,8.0,Early,213.13,137.12,3952
SHP001911,ORD001911,WH05,Amazon Logistics,2024-06-03,,7.0,On Time,282.42,69.89,2795
SHP001912,ORD001912,WH06,DHL,2023-11-16,7.0,7.0,On Time,287.06,122.51,1153
SHP001913,ORD001913,WH07,Amazon Logistics,2023-05-18,,7.0,On Time,102.77,12.41,4355
SHP001914,ORD001914,WH10,USPS,2024-07-03,,,Late,108.21,56.83,1881
SHP001915,ORD001915,WH07,Amazon Logistics,2024-09-14,13.0,11.0,Early,11630.144750151521,32.95,4916
SHP001916,ORD001916,WH07,UPS,2024-01-03,,7.0,On Time,117.86,156.46,3018
SHP001917,ORD001917,WH01,FedEx,2023-08-08,13.0,13.0,On Time,263.23,23.44,4295
SHP001918,ORD001918,WH07,Amazon Logistics,2023-12-03,,7.0,On Time,274.45,141.37,2684
SHP001919,ORD001919,WH03,XPO Freight,2023-08-11,7.0,7.0,On Time,100.09,75.48,2002
SHP001920,ORD001920,WH05,USPS,2024-10-09,,7.0,On Time,151.09,88.04,3390
SHP001921,ORD001921,WH10,Amazon Logistics,2023-12-26,,6.0,Early,236.41,136.29,1962
SHP001922,ORD001922,WH05,USPS,2023-11-25,9.0,9.0,On Time,255.73,164.4,3960
SHP001923,ORD001923,WH08,FedEx,2024-04-07,7.0,7.0,On Time,103.96,75.46,369
SHP001924,ORD001924,WH07,FedEx,2024-07-14,5.0,,Late,225.39,29.46,491
SHP001925,ORD001925,WH07,Amazon Logistics,2024-01-17,11.0,10.0,Early,326.67,122.19,2038
SHP001926,ORD001926,WH06,UPS,2024-08-12,,7.0,On Time,210.07,189.03,1719
